etf_ticker,note
RGQP,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RGQQ,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RGQR,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RGQS,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RID,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RID-U,"Complete holdings (duplicated from verified-identical RID); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RIDH,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RLB,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RPD,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RPD-U,"Complete holdings (duplicated from verified-identical RPD); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RPDH,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RPF,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RQP,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RQQ,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RQR,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RQS,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUD,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUD-U,"Complete holdings (duplicated from verified-identical RUD); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RUDB,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUDB-U,"Complete holdings (duplicated from verified-identical RUDB); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RUDC,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUDC-U,"Complete holdings (duplicated from verified-identical RUDC); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RUDH,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUQP,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUQP-U,"Complete holdings (duplicated from verified-identical RUQP); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RUQQ,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUQQ-U,"Complete holdings (duplicated from verified-identical RUQQ); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RUQR,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUQR-U,"Complete holdings (duplicated from verified-identical RUQR); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RUQS,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUQS-U,"Complete holdings (duplicated from verified-identical RUQS); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RUSB,"Complete holdings from RBC GAM CSV download; names and weights only, no holding tickers; as of 2026-09-18."
RUSB-U,"Complete holdings (duplicated from verified-identical RUSB); RBC GAM publishes names and weights, no holding tickers; as of 2026-09-18."
RGQN,"RBC Target 2025 Government Bond ETF — terminated/matured; detail page empty, no holdings published."
RGQO,"RBC Target 2026 Government Bond ETF — terminated/matured; detail page empty, no holdings published."
RPSB,"terminated legacy fund; detail page empty/error, no product in site search; no holdings published."
RQN,terminated legacy fund; no product in site search; no holdings published.
RQO,terminated legacy fund; no product in site search; no holdings published.
RUBH,terminated legacy fund; no product in site search; no holdings published.
RUBY,terminated legacy fund; detail page empty; no holdings published.
RUBY-U,terminated legacy fund (USD variant of RUBY); no holdings published.
RXD,terminated legacy fund; detail page empty; no holdings published.
RXD-U,terminated legacy fund (USD variant of RXD); no holdings published.
RUQN,terminated (404); no holdings published.
RUQN-U,terminated (USD variant of RUQN); no holdings published.
RUQO,terminated (404); no holdings published.
RUQO-U,terminated (USD variant of RUQO); no holdings published.
NALT,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBBX,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBCG,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBCX,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBEM,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBGE,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBGE.F,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBIE,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBIE.F,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBIX,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBLD,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBQC,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBSC,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NREA,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSCB,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSCC,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSCE,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSDG,Partial: Top 10 holdings only (issuer publishes no complete list or download) (only 3 rows published on site); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSDI,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSDI.F,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSDU,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSDU.F,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSGE,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NSSB,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NTGA,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NTGB,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NTGC,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NTGD,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NTGE,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NTGF,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NTHM,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NUBF,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NUSA,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NUSA.F,Partial: Top 10 holdings only (issuer publishes no complete list or download); as of 2026-08-31. Holding tickers shown by issuer only for ETF holdings.
NBIV,Terminated: ETF series not found in NBI fund search (only mutual-fund series remain); still referenced in NCNS/NEQT/NGRW/NBLD holdings tables as of 2026-08-31.
XDUH,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 5 direct holdings only
GCNS,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 14 direct holdings only
GEQT,fund-of-funds: file contained direct holdings + full look-through (summed 200.1%); kept 4 direct holdings only
GGRO,fund-of-funds: file contained direct holdings + full look-through (summed 199.9%); kept 20 direct holdings only
XAW,fund-of-funds: file contained direct holdings + full look-through (summed 194.5%); kept 8 direct holdings only
XAWU,fund-of-funds: file contained direct holdings + full look-through (summed 194.5%); kept 8 direct holdings only
XCD,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 63 direct holdings only
XCH,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 3 direct holdings only
XCNS,fund-of-funds: file contained direct holdings + full look-through (summed 189.2%); kept 23 direct holdings only
XDGH,fund-of-funds: file contained direct holdings + full look-through (summed 199.8%); kept 147 direct holdings only
ZJN,Not found on bmogam.com (site search returns 0 funds); likely terminated/delisted; no holdings published.
ZJO,Not found on bmogam.com (site search returns 0 funds); likely terminated/delisted; no holdings published.
CORE,Complete holdings from PIMCO official Excel download; as of 2026-06-30 (Unaudited) per workbook (note: file predates the 2026-08-31 portfolio composition date).
IGCF,Complete holdings from PIMCO official Excel download; as of 2026-06-30 (Unaudited) per workbook (note: file predates the 2026-08-31 portfolio composition date).
MAEC,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MDIV,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MHCD,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MINF,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MINN,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MIPC,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MREL,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MSBP,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
MUSA,Partial: Top 10 holdings only (middlefield.com publishes no complete list or download); as of 2026-08-31. No holding tickers published.
PCON,Complete holdings from PIMCO official Excel download; as of 2026-06-30 (Unaudited) per workbook (note: file predates the 2026-08-31 portfolio composition date).
PCOR,Complete holdings from PIMCO official Excel download; as of 2026-06-30 (Unaudited) per workbook (note: file predates the 2026-08-31 portfolio composition date).
PLDI,Complete holdings from PIMCO official Excel download; as of 2026-06-30 (Unaudited) per workbook (note: file predates the 2026-08-31 portfolio composition date).
PMIF,Complete holdings from PIMCO official Excel download; as of 2026-06-30 (Unaudited) per workbook (note: file predates the 2026-08-31 portfolio composition date).
PMIF.U,Complete holdings duplicated from PMIF (same fund-level PIMCO file; USD ETF class); as of 2026-06-30.
PMNT,Complete holdings from PIMCO official Excel download; as of 2026-06-30 (Unaudited) per workbook (note: file predates the 2026-08-31 portfolio composition date).
PBAL,New fund (inception 2026-01-26); PIMCO publishes no holdings Excel or holdings table — only sector allocation and a Portfolio Statistics PDF; no holdings data available.
MAAA,Complete published portfolio (111 rows incl. cash at -3.7%) from Complete Fund Holdings table; as of 2026-06-30. No holding tickers published by issuer.
MAGV,Complete published portfolio (67 rows incl. cash) from Complete Fund Holdings table; as of 2026-06-30. Issuer shows a Ticker column; Nokia Oyj appears twice at 1.3% verbatim from the site.
XEH,fund-of-funds: file contained direct holdings + full look-through (summed 199.9%); kept 44 direct holdings only
XEQT,fund-of-funds: file contained direct holdings + full look-through (summed 194.6%); kept 8 direct holdings only
XFH,fund-of-funds: file contained direct holdings + full look-through (summed 199.2%); kept 223 direct holdings only
GBFC,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GBFD,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GBFE,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GBFF,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GBLF,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GCBD,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published.
GCEI,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published.
GCFE,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published.
GCSC,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published.
GCTB,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GFGE,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published.
MALX,"Complete published table incl. short positions (negative weights), duplicates as shown (PLD/DXCM/SNDK pairs), cash; as of 2026-06-30. Holding tickers shown on site."
MAUG,Complete published fund-holdings table; as of 2026-06-30. Holding tickers shown on site. Duplicates (e.g. PLD/SNDK/DXCM pairs) transcribed as displayed.
MAUV,Complete published fund-holdings table; as of 2026-06-30. Holding tickers shown on site. Duplicates (e.g. PLD/SNDK/DXCM pairs) transcribed as displayed.
MBAL,Complete published fund-holdings table; as of 2026-06-30. Holding tickers shown on site. Duplicates (e.g. PLD/SNDK/DXCM pairs) transcribed as displayed.
MBQG,Complete published fund-holdings table; as of 2026-06-30. Holding tickers shown on site. Duplicates (e.g. PLD/SNDK/DXCM pairs) transcribed as displayed.
MCKG,Complete published table; as of 2026-09-17 (site updated more recently than other Mackenzie tables). Duplicates as shown (NOKIA/DXCM/PLD pairs). Holding tickers shown on site.
MCLV,Complete published fund-holdings table; as of 2026-06-30. Holding tickers shown on site. Duplicates (e.g. PLD/SNDK/DXCM pairs) transcribed as displayed.
MCON,Complete published fund-holdings table; as of 2026-06-30. Holding tickers shown on site. Duplicates (e.g. PLD/SNDK/DXCM pairs) transcribed as displayed.
MCSB,Complete published table of 179 bonds + cash; as of 2026-06-30. Site table has NO Ticker column.
MCYC,Complete published fund-holdings table; as of 2026-06-30. Holding tickers shown on site. Duplicates (e.g. PLD/SNDK/DXCM pairs) transcribed as displayed.
XGI,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 79 direct holdings only
XGRO,fund-of-funds: file contained direct holdings + full look-through (summed 190.8%); kept 36 direct holdings only
XHC,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 90 direct holdings only
GGEP,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GGEP.F,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked. Verified same fund pool as GGEP; rows duplicated from base class.
GGPY,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GGPY.F,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked. Verified same fund pool as GGPY; rows duplicated from base class.
GIDY,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GIES,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GIGC,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GIGD,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GIGF,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GIGF.F,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked. Verified same fund pool as GIGF; rows duplicated from base class.
GIIF,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GIUS,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GIUS.F,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked. Verified same fund pool as GIUS; rows duplicated from base class.
GSDB,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GSIF,Partial: Top 25 holdings only (issuer's Summary of Investment Portfolio; no complete list or download published); as of 2026-03-31. No holding tickers published. Retail fund pages bot-blocked.
GUTB.U,"Complete published portfolio: single position (U.S. Treasury Bills, 100.2% of NAV); as of 2026-03-31. No holding ticker published."
XID,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 3 direct holdings only
XIG,fund-of-funds: file contained direct holdings (LQD at 100.73% + cash/FX forwards) + full LQD look-through (summed 200.1%); kept 11 direct holdings only (2026-09-17). USD-listed LQD look-through constituents not duplicated.
SRIB,Partial: Top 10 holdings only (Scotia publishes no CSV/download for RI series; index trackers SITB/SITC/SITI/SITU have full CSVs); as of 2026-08-31. No holding tickers published.
SRIC,Partial: Top 10 holdings only (Scotia publishes no CSV/download for RI series); as of 2026-08-31. No holding tickers published.
SRII,Partial: Top 10 holdings only (Scotia publishes no CSV/download for RI series); as of 2026-08-31. No holding tickers published.
SRIU,Partial: Top 10 holdings only (Scotia publishes no CSV/download for RI series); as of 2026-08-31. No holding tickers published.
SITE,NO_HOLDINGS_TABLE: Scotia Emerging Markets Equity Index Tracker ETF publishes no holdings section or download (only sector allocation); as of 2026-08-31.
SCDG,"Partial: Top 10 only; as of 2026-08-31. Weight not displayed on page for one holding (blank weight, not zero). SCDGC is same fund pool."
SCDGC,Partial: Top 10 only; as of 2026-08-31. Same fund pool as SCDG; rows duplicated.
SCGG,"Partial: Top 10 only; as of 2026-08-31. 3 holding weights not displayed on page (blank, not zero)."
SCGI,"Partial: Top 10 only; as of 2026-08-31. 3 holding weights not displayed on page (blank, not zero)."
SCGR,"Partial: Top 10 only; as of 2026-08-31. 3 holding weights not displayed on page (blank, not zero)."
SCNA,"Partial: Top 10 only; as of 2026-08-31. 5 holding weights not displayed on page (blank, not zero). SCNAE is same fund pool."
SCNAE,Partial: Top 10 only; as of 2026-08-31. Same fund pool as SCNA; rows duplicated.
LYCT,Partial: Top 10 only; as of 2026-08-31. No holding tickers published.
LYFR,Partial: Top 10 only; as of 2026-08-31. No holding tickers published.
PR,Partial: Top 10 only; as of 2026-08-31. No holding tickers published.
XMC,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 4 direct holdings only
XMCU,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 4 direct holdings only
XMH,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 16 direct holdings only
XMI,fund-of-funds: file contained direct holdings + full look-through (summed 200.0%); kept 3 direct holdings only
XIGS,fund-of-funds: file contained direct holdings (IGSB at ~100% + cash/FX forwards) + full IGSB look-through (summed 199.5%); kept 35 direct holdings only (2026-09-17). Parser stops at repeated 'Fund Holdings as of' header.
TCSB,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TCSH,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TDB,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TDOC,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TDOC-U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TEC,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TEC-U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TECI,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TECX,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TEQT,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TGED,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TGED-U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TGFI,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TGGR,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TGRE,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TGRO,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
THE,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
THU,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TILV,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TINF,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TPE,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TPRF,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TPU,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TPU.U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TQCD,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TQGD,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TQGM,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TQSM,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TQSM-U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TTP,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TUED,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TUED-U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TUEX,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TUHY,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TULB,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TULV,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TUSB,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TUSB-U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
TUSD-U,"Partial: TD publishes only Top-25 quarterly portfolio summaries (as at March 31, 2026); complete holdings not published. No holding tickers published. Strict PDF-verified re-extraction 2026-09-19."
BYLD,Complete holdings (as of 31/08/2026) via verified page transcription; issuer offers no holdings CSV download and publishes no holding tickers. BYLD.B verified identical to BYLD row-by-row; duplicated.
BYLD.B,Complete holdings (as of 31/08/2026) via verified page transcription; issuer offers no holdings CSV download and publishes no holding tickers. BYLD.B verified identical to BYLD row-by-row; duplicated.
CBND,Complete holdings (as of 31/08/2026) via verified page transcription; issuer offers no holdings CSV download and publishes no holding tickers.
CDEF,Complete holdings (as of 31/08/2026) via verified page transcription; issuer offers no holdings CSV download and publishes no holding tickers.
